"coefficient","k","ARI","ARI_batch","NMI","NMI_batch"
"pearson",2,0.212149255614271,0.210365042318337,0.567345127218957,0.560623545150663
"pearson",5,0.354127397699707,0.353419884108536,0.598150242094889,0.595954185601949
"pearson",10,0.463439996899908,0.435268416770635,0.606401692719615,0.605696984302638
"pearson",20,0.391197684921379,0.344469338226496,0.512137013800542,0.503494249479521
"pearson",50,0.327477994902151,0.34894369297736,0.432347998602234,0.425544374176737
"phi_s",2,0.369702455428304,0.384743177547895,0.729062058057976,0.738400702566519
"phi_s",5,0.701490245620123,0.66153493381879,0.869801981133343,0.852973141989452
"phi_s",10,0.723264182859524,0.723264182859524,0.859022307774368,0.859022307774368
"phi_s",20,0.733315879172538,0.727731439830952,0.864132982114308,0.856031287906896
"phi_s",50,0.688700672019866,0.597749598010507,0.839419535771745,0.787014535271948
"rho_p",2,0.409599909269904,0.406088664596595,0.753310390602477,0.752162795551577
"rho_p",5,0.691777501938604,0.691777501938604,0.863042610077222,0.863042610077222
"rho_p",10,0.723264182859524,0.723264182859524,0.859022307774368,0.859022307774368
"rho_p",20,0.730524234231576,0.730524234231576,0.860717483009135,0.860717483009135
"rho_p",50,0.678819654565448,0.678819654565448,0.83467243383351,0.83467243383351
"spearman",2,0.269179911114087,0.269179911114087,0.670842140552991,0.670842140552991
"spearman",5,0.475985039632783,0.463006563793376,0.76682375261345,0.764527017283501
"spearman",10,0.527804319941829,0.529794228786666,0.775288276915939,0.776699765627646
"spearman",20,0.59517698194873,0.59517698194873,0.769707432434296,0.769707432434296
"spearman",50,0.46510580665011,0.463088868455612,0.659883118377942,0.658322533486041
